Instance Init Pivot Neighborhood Cost Time
N-t69r11xx_250 cw best exchange 30441262 0.774036
N-t69r11xx_250 cw best insert 30974904 0.692585
N-t70b11xx_150 random first transpose 6051685 1.7e-05
N-t70b11xx_150 random first exchange 9387680 0.362681
N-t70b11xx_150 random first insert 9434392 0.349448
N-t70b11xx_150 random best transpose 6107362 2.3e-05
N-t70b11xx_150 random best exchange 9287815 0.079447
N-t70b11xx_150 random best insert 9420264 0.095101
N-t70b11xx_150 cw first transpose 7886107 0.000971
N-t70b11xx_150 cw first exchange 9388651 0.34379
N-t70b11xx_150 cw first insert 9481727 0.248918
N-t70b11xx_150 cw best transpose 7884701 0.000977
N-t70b11xx_150 cw best exchange 9333671 0.109781
N-t70b11xx_150 cw best insert 9486371 0.08762
N-t70b11xx_250 random first transpose 16816083 3.6e-05
N-t70b11xx_250 random first exchange 24607212 4.84214
N-t70b11xx_250 random first insert 25041550 4.65965
N-t70b11xx_250 random best transpose 16847159 6.4e-05
N-t70b11xx_250 random best exchange 24549727 0.873422
N-t70b11xx_250 random best insert 24902582 0.906998
N-t70b11xx_250 cw first transpose 21299721 0.0046
N-t70b11xx_250 cw first exchange 24700764 4.45038
N-t70b11xx_250 cw first insert 24909502 3.09797
N-t70b11xx_250 cw best transpose 21304756 0.004326
N-t70b11xx_250 cw best exchange 24406801 0.944348
N-t70b11xx_250 cw best insert 24923123 0.839025
N-t70d11xn_150 random first transpose 3608392 1.9e-05
N-t70d11xn_150 random first exchange 5632012 0.472447
N-t70d11xn_150 random first insert 5738585 0.473292
N-t70d11xn_150 random best transpose 3608272 2.8e-05
N-t70d11xn_150 random best exchange 5581792 0.101261
N-t70d11xn_150 random best insert 5651154 0.098142
N-t70d11xn_150 cw first transpose 4867683 0.000971
N-t70d11xn_150 cw first exchange 5617018 0.403664
N-t70d11xn_150 cw first insert 5722263 0.303012
N-t70d11xn_150 cw best transpose 4866760 0.000976
N-t70d11xn_150 cw best exchange 5597017 0.091136
N-t70d11xn_150 cw best insert 5686328 0.082414
N-t70d11xn_250 random first transpose 10647818 4.5e-05
N-t70d11xn_250 random first exchange 14702964 5.76064
N-t70d11xn_250 random first insert 14899122 4.86062
N-t70d11xn_250 random best transpose 10690780 7.5e-05
N-t70d11xn_250 random best exchange 14630692 0.913408
N-t70d11xn_250 random best insert 14903631 0.921462
N-t70d11xn_250 cw first transpose 12899021 0.004295
N-t70d11xn_250 cw first exchange 14775815 3.87775
N-t70d11xn_250 cw first insert 14922758 3.12425
N-t70d11xn_250 cw best transpose 12900586 0.004305
N-t70d11xn_250 cw best exchange 14742017 0.8461
N-t70d11xn_250 cw best insert 14907181 0.745712
N-t70d11xx_150 random first transpose 4283429 1.8e-05
N-t70d11xx_150 random first exchange 5968613 0.445196
N-t70d11xx_150 random first insert 6029183 0.447729
N-t70d11xx_150 random best transpose 4258714 2.9e-05
N-t70d11xx_150 random best exchange 5913842 0.092539
N-t70d11xx_150 random best insert 6019988 0.099592
N-t70d11xx_150 cw first transpose 5093969 0.000972
N-t70d11xx_150 cw first exchange 5984951 0.367916
N-t70d11xx_150 cw first insert 6040680 0.30921
N-t70d11xx_150 cw best transpose 5090895 0.000968
N-t70d11xx_150 cw best exchange 5954586 0.076054
N-t70d11xx_150 cw best insert 6053715 0.089477
N-t70d11xx_250 random first transpose 11072864 4.3e-05
N-t70d11xx_250 random first exchange 15546031 6.01321
N-t70d11xx_250 random first insert 15716652 4.70031
N-t70d11xx_250 random best transpose 11066730 7.1e-05
N-t70d11xx_250 random best exchange 15410487 1.01962
N-t70d11xx_250 random best insert 15576665 0.860222
N-t70d11xx_250 cw first transpose 13472808 0.004444
N-t70d11xx_250 cw first exchange 15612502 5.32658
N-t70d11xx_250 cw first insert 15668199 3.3896
N-t70d11xx_250 cw best transpose 13469473 0.00443
N-t70d11xx_250 cw best exchange 15477808 0.788946
N-t70d11xx_250 cw best insert 15736486 0.78434
N-t70f11xx_150 random first transpose 3241715 2.5e-05
N-t70f11xx_150 random first exchange 4944910 0.382907
N-t70f11xx_150 random first insert 5037388 0.352105
N-t70f11xx_150 random best transpose 3248829 2.8e-05
N-t70f11xx_150 random best exchange 4932812 0.084809
N-t70f11xx_150 random best insert 5053851 0.112014
N-t70f11xx_150 cw first transpose 4197416 0.000983
N-t70f11xx_150 cw first exchange 4930616 0.231687
N-t70f11xx_150 cw first insert 5021685 0.245818
N-t70f11xx_150 cw best transpose 4199219 0.000964
N-t70f11xx_150 cw best exchange 4928579 0.080487
N-t70f11xx_150 cw best insert 5012967 0.079434
N-t70f11xx_250 random first transpose 9423977 6.2e-05
N-t70f11xx_250 random first exchange 13162843 4.58873
N-t70f11xx_250 random first insert 13302080 4.33161
N-t70f11xx_250 random best transpose 9434609 5.6e-05
N-t70f11xx_250 random best exchange 13023711 0.652758
N-t70f11xx_250 random best insert 13235429 0.865974
N-t70f11xx_250 cw first transpose 11396195 0.004472
N-t70f11xx_250 cw first exchange 13089573 3.79107
N-t70f11xx_250 cw first insert 13261162 2.77368
N-t70f11xx_250 cw best transpose 11397298 0.004444
N-t70f11xx_250 cw best exchange 13023191 0.746441
N-t70f11xx_250 cw best insert 13318332 0.716627
N-t70l11xx_150 random first transpose 271234 1.4e-05
N-t70l11xx_150 random first exchange 422865 0.355685
N-t70l11xx_150 random first insert 426305 0.22515
N-t70l11xx_150 random best transpose 271234 1.8e-05
N-t70l11xx_150 random best exchange 419713 0.067388
N-t70l11xx_150 random best insert 424035 0.084571
N-t70l11xx_150 cw first transpose 350517 0.000959
N-t70l11xx_150 cw first exchange 419576 0.317208
N-t70l11xx_150 cw first insert 425493 0.149603
N-t70l11xx_150 cw best transpose 350524 0.000955
N-t70l11xx_150 cw best exchange 416905 0.085704
N-t70l11xx_150 cw best insert 421948 0.077463
N-t70l11xx_250 random first transpose 670363 3.1e-05
N-t70l11xx_250 random first exchange 1087354 4.37128
N-t70l11xx_250 random first insert 1082827 2.85607
N-t70l11xx_250 random best transpose 670421 3.5e-05
N-t70l11xx_250 random best exchange 1074060 0.747914
N-t70l11xx_250 random best insert 1081829 0.80178
N-t70l11xx_250 cw first transpose 899746 0.004277
N-t70l11xx_250 cw first exchange 1086866 3.62589
N-t70l11xx_250 cw first insert 1087359 1.82698
N-t70l11xx_250 cw best transpose 899723 0.004756
N-t70l11xx_250 cw best exchange 1072740 0.587409
N-t70l11xx_250 cw best insert 1090184 0.794373
N-t70n11xx_150 random first transpose 593115 1.9e-05
N-t70n11xx_150 random first exchange 917529 0.498144
N-t70n11xx_150 random first insert 929342 0.431734
N-t70n11xx_150 random best transpose 594016 3.2e-05
N-t70n11xx_150 random best exchange 910062 0.08381
N-t70n11xx_150 random best insert 923600 0.092396
N-t70n11xx_150 cw first transpose 755586 0.000961
N-t70n11xx_150 cw first exchange 923110 0.438671
N-t70n11xx_150 cw first insert 935842 0.246662
N-t70n11xx_150 cw best transpose 755832 0.000953
N-t70n11xx_150 cw best exchange 915224 0.0884
N-t70n11xx_150 cw best insert 921403 0.073919
